127.0.0.1 - - [30/Jan/2023:21:51:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:51:12 +0530] "GET /JSPPractice/FileOnServer.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:51:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:51:20 +0530] "POST /JSPPractice/upload.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:57:45 +0530] "GET /JSPPractice/ImplicitObj.html HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:00:27 +0530] "GET /JSPPractice/ImplicitObj.html HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:02:05 +0530] "GET /JSPPractice/ImplicitObj.html HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:12:44 +0530] "GET /JSPPractice/ImplicitObj.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:13:14 +0530] "GET /JSPPractice/ImplicitObj.html HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:13:24 +0530] "GET /JSPPractice/ImplicitObject.jsp?name=Pratyaksha&age=21&range=50 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:13:27 +0530] "GET /JSPPractice/ImplicitObject.jsp?name=Pratyaksha&age=21&range=50 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:13:28 +0530] "GET /JSPPractice/ImplicitObject.jsp?name=Pratyaksha&age=21&range=50 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:13:29 +0530] "GET /JSPPractice/ImplicitObject.jsp?name=Pratyaksha&age=21&range=50 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:13:29 +0530] "GET /JSPPractice/ImplicitObject.jsp?name=Pratyaksha&age=21&range=50 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:13:29 +0530] "GET /JSPPractice/ImplicitObject.jsp?name=Pratyaksha&age=21&range=50 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:13:29 +0530] "GET /JSPPractice/ImplicitObject.jsp?name=Pratyaksha&age=21&range=50 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:13:30 +0530] "GET /JSPPractice/ImplicitObject.jsp?name=Pratyaksha&age=21&range=50 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:13:52 +0530] "GET /JSPPractice/ImplicitObjects.jsp?name=Pratyaksha&age=21&range=50 HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:14:46 +0530] "GET /JSPPractice/ImplicitObj.html HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:15:07 +0530] "GET /JSPPractice/ImplicitObj.html HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:15:16 +0530] "GET /JSPPractice/ImplicitObjects.jsp?name=Pratyaksha+Verma&age=21&range=5 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:25:32 +0530] "GET /JSPPractice/JspTag1.jsp HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:32:04 +0530] "GET /JSPPractice/JSPtag2.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:32:33 +0530] "GET /JSPPractice/JSPtag2.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:32:34 +0530] "GET /JSPPractice/JSPtag2.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:33:08 +0530] "GET /JSPPractice/JSPtag2.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:33:23 +0530] "GET /JSPPractice/JSPtag2.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:34:18 +0530] "GET /JSPPractice/JSPtag2.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:35:56 +0530] "GET /JSPPractice/JSPtag2.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:36:17 +0530] "GET /JSPPractice/JSPtag2.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:41:26 +0530] "GET /JSPPractice/JspTag1.jsp HTTP/1.1" 500 3119
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:41:34 +0530] "GET /JSPPractice/JspTag1.jsp HTTP/1.1" 500 3119
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:41:59 +0530] "GET /JSPPractice/JspTag1.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:02:26 +0530] "GET /JSPPractice/RegistrationForm.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:03:04 +0530] "GET /JSPPractice/RegistrationForm.jsp HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:03:19 +0530] "GET /JSPPractice/RegistrationForm.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:03:45 +0530] "POST /JSPPractice/login.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:06:54 +0530] "POST /JSPPractice/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:06:54 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:08:57 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 305
